sample,time_s,model_q1,model_q2,model_q3,model_q4,joint_1,joint_2,joint_3,joint_4,joint_5
94,1.86,0.441011739478201,0.905746556186332,-1.92856694428475,0,0.441011739478201,-0.905746556186332,1.92856694428475,-1.02282038809842,0
95,1.88,0.441502628262887,0.904965444957082,-1.92850711952621,0,0.441502628262887,-0.904965444957082,1.92850711952621,-1.02354167456913,0
96,1.9,0.441861898329759,0.904393767843402,-1.92846333517898,0,0.441861898329759,-0.904393767843402,1.92846333517898,-1.02406956733558,0
97,1.92,0.44210781884948,0.904002454606169,-1.92843336477393,0,0.44210781884948,-0.904002454606169,1.92843336477393,-1.02443091016776,0
98,1.94,0.442260092285189,0.903760154325007,-1.92841480716616,0,0.442260092285189,-0.903760154325007,1.92841480716616,-1.02465465284115,0
99,1.96,0.442339886243456,0.903633184716466,-1.92840508265333,0,0.442339886243456,-0.903633184716466,1.92840508265333,-1.02477189793686,0
100,1.98,0.442369865325224,0.903585481452219,-1.92840142909394,0,0.442369865325224,-0.903585481452219,1.92840142909394,-1.02481594764172,0
101,2,0.442374222976745,0.903578547477269,-1.92840089802568,0,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0
102,2.02,0.442374222976745,0.903578547477269,-1.92840089802568,5.91036e-07,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,5.91036e-07
103,2.04,0.442374222976745,0.903578547477269,-1.92840089802568,4.657152e-06,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,4.657152e-06
104,2.06,0.442374222976745,0.903578547477269,-1.92840089802568,1.5479748e-05,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,1.5479748e-05
105,2.08,0.442374222976745,0.903578547477269,-1.92840089802568,3.6132864e-05,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,3.6132864e-05
106,2.1,0.442374222976745,0.903578547477269,-1.92840089802568,6.94875e-05,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,6.94875e-05
107,2.12,0.442374222976745,0.903578547477269,-1.92840089802568,0.000118215936,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.000118215936
108,2.14,0.442374222976745,0.903578547477269,-1.92840089802568,0.000184796052,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.000184796052
109,2.16,0.442374222976745,0.903578547477269,-1.92840089802568,0.000271515648,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.000271515648
110,2.18,0.442374222976745,0.903578547477269,-1.92840089802568,0.000380476764,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.000380476764
111,2.2,0.442374222976745,0.903578547477269,-1.92840089802568,0.0005136,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.0005136
112,2.22,0.442374222976745,0.903578547477269,-1.92840089802568,0.000672628836,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.000672628836
113,2.24,0.442374222976745,0.903578547477269,-1.92840089802568,0.000859133952,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.000859133952
114,2.26,0.442374222976745,0.903578547477269,-1.92840089802568,0.001074517548,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.001074517548
115,2.28,0.442374222976745,0.903578547477269,-1.92840089802568,0.001320017664,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.001320017664
116,2.3,0.442374222976745,0.903578547477269,-1.92840089802568,0.0015967125,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.0015967125
117,2.32,0.442374222976745,0.903578547477269,-1.92840089802568,0.001905524736,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.001905524736
118,2.34,0.442374222976745,0.903578547477269,-1.92840089802568,0.002247225852,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.002247225852
119,2.36,0.442374222976745,0.903578547477269,-1.92840089802568,0.002622440448,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.002622440448
120,2.38,0.442374222976745,0.903578547477269,-1.92840089802568,0.003031650564,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.003031650564
121,2.4,0.442374222976745,0.903578547477269,-1.92840089802568,0.0034752,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.0034752
122,2.42,0.442374222976745,0.903578547477269,-1.92840089802568,0.003953298636,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.003953298636
123,2.44,0.442374222976745,0.903578547477269,-1.92840089802568,0.004466026752,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.004466026752
124,2.46,0.442374222976745,0.903578547477269,-1.92840089802568,0.005013339348,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.005013339348
125,2.48,0.442374222976745,0.903578547477269,-1.92840089802568,0.005595070464,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.005595070464
126,2.5,0.442374222976745,0.903578547477269,-1.92840089802568,0.0062109375,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.0062109375
127,2.52,0.442374222976745,0.903578547477269,-1.92840089802568,0.006860545536,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.006860545536
128,2.54,0.442374222976745,0.903578547477269,-1.92840089802568,0.007543391652,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.007543391652
129,2.56,0.442374222976745,0.903578547477269,-1.92840089802568,0.008258869248,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.008258869248
130,2.58,0.442374222976745,0.903578547477269,-1.92840089802568,0.009006272364,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.009006272364
131,2.6,0.442374222976745,0.903578547477269,-1.92840089802568,0.0097848,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.0097848
132,2.62,0.442374222976745,0.903578547477269,-1.92840089802568,0.010593560436,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.010593560436
133,2.64,0.442374222976745,0.903578547477269,-1.92840089802568,0.011431575552,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.011431575552
134,2.66,0.442374222976745,0.903578547477269,-1.92840089802568,0.012297785148,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.012297785148
135,2.68,0.442374222976745,0.903578547477269,-1.92840089802568,0.013191051264,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.013191051264
136,2.7,0.442374222976745,0.903578547477269,-1.92840089802568,0.0141101625,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.0141101625
137,2.72,0.442374222976745,0.903578547477269,-1.92840089802568,0.015053838336,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.015053838336
138,2.74,0.442374222976745,0.903578547477269,-1.92840089802568,0.016020733452,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.016020733452
139,2.76,0.442374222976745,0.903578547477269,-1.92840089802568,0.017009442048,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.017009442048
140,2.78,0.442374222976745,0.903578547477269,-1.92840089802568,0.018018502164,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.018018502164
141,2.8,0.442374222976745,0.903578547477269,-1.92840089802568,0.0190464,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.0190464
142,2.82,0.442374222976745,0.903578547477269,-1.92840089802568,0.020091574236,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.020091574236
143,2.84,0.442374222976745,0.903578547477269,-1.92840089802568,0.021152420352,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.021152420352
144,2.86,0.442374222976745,0.903578547477269,-1.92840089802568,0.022227294948,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.022227294948
145,2.88,0.442374222976745,0.903578547477269,-1.92840089802568,0.023314520064,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.023314520064
146,2.9,0.442374222976745,0.903578547477269,-1.92840089802568,0.0244123875,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.0244123875
147,2.92,0.442374222976745,0.903578547477269,-1.92840089802568,0.025519163136,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.025519163136
148,2.94,0.442374222976745,0.903578547477269,-1.92840089802568,0.026633091252,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.026633091252
149,2.96,0.442374222976745,0.903578547477269,-1.92840089802568,0.027752398848,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.027752398848
150,2.98,0.442374222976745,0.903578547477269,-1.92840089802568,0.028875299964,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.028875299964
151,3,0.442374222976745,0.903578547477269,-1.92840089802568,0.03,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.03
152,3.02,0.442374222976745,0.903578547477269,-1.92840089802568,0.031124700036,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.031124700036
153,3.04,0.442374222976745,0.903578547477269,-1.92840089802568,0.032247601152,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.032247601152
154,3.06,0.442374222976745,0.903578547477269,-1.92840089802568,0.033366908748,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.033366908748
155,3.08,0.442374222976745,0.903578547477269,-1.92840089802568,0.034480836864,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.034480836864
156,3.1,0.442374222976745,0.903578547477269,-1.92840089802568,0.0355876125,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.0355876125
157,3.12,0.442374222976745,0.903578547477269,-1.92840089802568,0.036685479936,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.036685479936
158,3.14,0.442374222976745,0.903578547477269,-1.92840089802568,0.037772705052,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.037772705052
159,3.16,0.442374222976745,0.903578547477269,-1.92840089802568,0.038847579648,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.038847579648
160,3.18,0.442374222976745,0.903578547477269,-1.92840089802568,0.039908425764,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.039908425764
161,3.2,0.442374222976745,0.903578547477269,-1.92840089802568,0.0409536,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.0409536
162,3.22,0.442374222976745,0.903578547477269,-1.92840089802568,0.041981497836,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.041981497836
163,3.24,0.442374222976745,0.903578547477269,-1.92840089802568,0.042990557952,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.042990557952
164,3.26,0.442374222976745,0.903578547477269,-1.92840089802568,0.043979266548,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.043979266548
165,3.28,0.442374222976745,0.903578547477269,-1.92840089802568,0.044946161664,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.044946161664
166,3.3,0.442374222976745,0.903578547477269,-1.92840089802568,0.0458898375,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.0458898375
167,3.32,0.442374222976745,0.903578547477269,-1.92840089802568,0.046808948736,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.046808948736
168,3.34,0.442374222976745,0.903578547477269,-1.92840089802568,0.047702214852,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.047702214852
169,3.36,0.442374222976745,0.903578547477269,-1.92840089802568,0.048568424448,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.048568424448
170,3.38,0.442374222976745,0.903578547477269,-1.92840089802568,0.049406439564,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.049406439564
171,3.4,0.442374222976745,0.903578547477269,-1.92840089802568,0.0502152,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.0502152
172,3.42,0.442374222976745,0.903578547477269,-1.92840089802568,0.050993727636,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.050993727636
173,3.44,0.442374222976745,0.903578547477269,-1.92840089802568,0.051741130752,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.051741130752
174,3.46,0.442374222976745,0.903578547477269,-1.92840089802568,0.052456608348,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.052456608348
175,3.48,0.442374222976745,0.903578547477269,-1.92840089802568,0.053139454464,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.053139454464
176,3.5,0.442374222976745,0.903578547477269,-1.92840089802568,0.0537890625,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.0537890625
177,3.52,0.442374222976745,0.903578547477269,-1.92840089802568,0.054404929536,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.054404929536
178,3.54,0.442374222976745,0.903578547477269,-1.92840089802568,0.054986660652,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.054986660652
179,3.56,0.442374222976745,0.903578547477269,-1.92840089802568,0.055533973248,0.442374222976745,-0.903578547477269,1.92840089802568,-1.02482235054841,0.055533973248
