sample,time_s,ref_q1,ref_q2,ref_q3,ref_q4,actual_q1,actual_q2,actual_q3,actual_q4,ref_joint_1,ref_joint_2,ref_joint_3,ref_joint_4,ref_joint_5,actual_joint_1,actual_joint_2,actual_joint_3,actual_joint_4,actual_joint_5
55,1.08,0.254223890254999,1.20296680457528,-1.95133083363553,0,0.25286934660098,1.20512217925824,-1.95149591226344,0,0.254223890254999,-1.20296680457528,1.95133083363553,-0.748364029060252,0,0.25286934660098,-1.20512217925824,1.95149591226344,-0.746373733005202,0
56,1.1,0.26238404045475,1.18998222405065,-1.95033635376435,0,0.261267091106221,1.19175953432103,-1.95047247670536,0,0.26238404045475,-1.18998222405065,1.95033635376435,-0.760354129713706,0,0.261267091106221,-1.19175953432103,1.95047247670536,-0.758712942384325,0
57,1.12,0.270478511353616,1.17710215363309,-1.94934987824862,0,0.269602198102853,1.17849655933529,-1.94945667479861,0,0.270478511353616,-1.17710215363309,1.94934987824862,-0.772247724615527,0,0.269602198102853,-1.17849655933529,1.94945667479861,-0.770960115463317,0
58,1.14,0.278494517451804,1.16434693784417,-1.9483729652609,0,0.277861256651416,1.16535459403363,-1.94845014093828,0,0.278494517451804,-1.16434693784417,1.9483729652609,-0.784026027416731,0,0.277861256651416,-1.16535459403363,1.94845014093828,-0.783095546904648,0
59,1.16,0.286419464355187,1.15173661711459,-1.94740714968366,0,0.286031045431952,1.15235467642264,-1.94745448641047,0,0.286419464355187,-1.15173661711459,1.94740714968366,-0.795670532569066,0,0.286031045431952,-1.15235467642264,1.94745448641047,-0.795099809987827,0
60,1.18,0.294240980626244,1.13929087710244,-1.94645393922757,0,0.294098564785686,1.13951749179756,-1.94647129548736,0,0.294240980626244,-1.13929087710244,1.94645393922757,-0.807163062125134,0,0.294098564785686,-1.13951749179756,1.94647129548736,-0.806953803689794,0
61,1.2,0.301946949635007,1.12702899801133,-1.94551481054985,0,0.30205106873224,1.12686332179594,-1.94550212152527,0,0.301946949635007,-1.12702899801133,1.94551481054985,-0.818485812538513,0,0.30205106873224,-1.12686332179594,1.94550212152527,-0.818638799729337,0
62,1.22,0.309525541410007,1.11496980390866,-1.94459120537254,0,0.309876096965498,1.11441199348517,-1.94454848306533,0,0.309525541410007,-1.11496980390866,1.94459120537254,-0.82962140146388,0,0.309876096965498,-1.11441199348517,1.94454848306533,-0.830136489580162,0
63,1.24,0.316965244489212,1.10313161204373,-1.94368452660086,0,0.317561506830876,1.10218282847975,-1.94361185993638,0,0.316965244489212,-1.10313161204373,1.94368452660086,-0.840552914557132,0,0.317561506830876,-1.10218282847975,1.94361185993638,-0.841429031456626,0
64,1.26,0.324254897770977,1.09153218216601,-1.94279613444151,0,0.325095505286375,1.09019459208419,-1.94269368935985,0,0.324254897770977,-1.09153218216601,1.94279613444151,-0.851263952275507,0,0.325095505286375,-1.09019459208419,1.94269368935985,-0.852499097275654,0
65,1.28,0.331383722364986,1.08018866584327,-1.94192734252098,0,0.332466680849505,1.07846544245854,-1.94179536205643,0,0.331383722364986,-1.08018866584327,1.94192734252098,-0.861738676677711,0,0.332466680849505,-1.07846544245854,1.94179536205643,-0.863329919597882,0
66,1.3,0.338341353443193,1.06911755577983,-1.94107941400386,0,0.339664035531887,1.06701287980344,-1.94091821835415,0,0.338341353443193,-1.06911755577983,1.94107941400386,-0.871961858224031,0,0.339664035531887,-1.06701287980344,1.94091821835415,-0.873905338550709,0
67,1.32,0.345117872090772,1.05833463513471,-1.94025355771118,0,0.346677016763121,1.05585369556227,-1.94006354429783,0,0.345117872090772,-1.05833463513471,1.94025355771118,-0.881918922576467,0,0.346677016763121,-1.05585369556227,1.94006354429783,-0.884209848735563,0
68,1.34,0.351703837157054,1.04785492683986,-1.93945092423871,0,0.353495549305293,1.04500392163821,-1.93923256775963,0,0.351703837157054,-1.04785492683986,1.93945092423871,-0.891595997398848,0,0.353495549305293,-1.04500392163821,1.93923256775963,-0.894228646121424,0
69,1.36,0.358090317106479,1.03769264291833,-1.93867260207528,0,0.360110067159324,1.03447877962429,-1.93842645455064,0,0.358090317106479,-1.03769264291833,1.93867260207528,-0.900979959156955,0,0.360110067159324,-1.03447877962429,1.93842645455064,-0.903947674926348,0
70,1.38,0.364268921869534,1.02786113380246,-1.9379196137211,0,0.366511545464204,1.02429263004473,-1.93764630453328,0,0.364268921869534,-1.02786113380246,1.9379196137211,-0.910058479918642,0,0.366511545464204,-1.02429263004473,1.93764630453328,-0.913353674488557,0
71,1.4,0.370231834693697,1.01837283765209,-1.93719291180605,0,0.372691532390039,1.01445892160611,-1.93689314773452,0,0.370231834693697,-1.01837283765209,1.93719291180605,-0.918820074153963,0,0.372691532390039,-1.01445892160611,1.93689314773452,-0.922434226128408,0
72,1.42,0.375971843994388,1.00923922967276,-1.93649337520805,0,0.378642181025679,1.00499014045725,-1.93616794045969,0,0.375971843994388,-1.00923922967276,1.93649337520805,-0.927254145535288,0,0.378642181025679,-1.00499014045725,1.93616794045969,-0.931177800002433,0
73,1.44,0.381482375205903,1.0004707714339,-1.93582180517133,0,0.384356281261651,0.995897759456468,-1.93547156140692,0,0.381482375205903,-1.0004707714339,1.93582180517133,-0.935351033737429,0,0.384356281261651,-0.995897759456468,1.93547156140692,-0.93957380195045,0
74,1.46,0.386757522632366,0.992076860186983,-1.93517892142474,0,0.389827291668978,0.987192187445404,-1.93480480778206,0,0.386757522632366,-0.992076860186983,1.93517892142474,-0.943102061237759,0,0.389827291668978,-0.987192187445404,1.93480480778206,-0.947612620336655,0
75,1.48,0.391792081298669,0.984065778183789,-1.93456535830013,0,0.395049371374426,0.978882718528583,-1.93416839141402,0,0.391792081298669,-0.984065778183789,1.93456535830013,-0.950499580116337,0,0.395049371374426,-0.978882718528583,1.93416839141402,-0.955285672885441,0
76,1.5,0.396581578801418,0.976444641994549,-1.93398166085058,0,0.400017411932625,0.970977481357883,-1.93356293487053,0,0.396581578801418,-0.976444641994549,1.93398166085058,-0.957537018856028,0,0.400017411932625,-0.970977481357883,1.93356293487053,-0.962585453512648,0
77,1.52,0.401122307159876,0.969219351826155,-1.93342828096878,0,0.40472706919548,0.963483388421358,-1.93298896757417,0,0.401122307159876,-0.969219351826155,1.93342828096878,-0.964208929142626,0,0.40472706919548,-0.963483388421358,1.93298896757417,-0.969505579152813,0
78,1.54,0.405411354666907,0.962394540840359,-1.93290557350533,0,0.409174795179203,0.956406085335821,-1.93244692191875,0,0.405411354666907,-0.962394540840359,1.93290557350533,-0.970511032664975,0,0.409174795179203,-0.956406085335821,1.93244692191875,-0.976040836582933,0
79,1.56,0.409446637739922,0.955973524471955,-1.93241379238705,0,0.41335786992929,0.949749900142721,-1.93193712938593,0,0.409446637739922,-0.955973524471955,1.93241379238705,-0.976440267915093,0,0.41335786992929,-0.949749900142721,1.93193712938593,-0.982187229243204,0
80,1.58,0.41322693277182,0.949958249746984,-1.93195308673528,0,0.417274433383688,0.943517792606881,-1.93145981666199,0,0.41322693277182,-0.949958249746984,1.93195308673528,-0.981994836988293,0,0.417274433383688,-0.943517792606881,1.93145981666199,-0.987942024055107,0
81,1.6,0.416751907981932,0.944349244600924,-1.93152349698423,0,0.420923517234399,0.937711303517732,-1.93101510175492,0,0.416751907981932,-0.944349244600924,1.93152349698423,-0.987174252383302,0,0.420923517234399,-0.937711303517732,1.93101510175492,-0.993303798237185,0
82,1.62,0.420022155266969,0.939145567196883,-1.93112495099927,0,0.424305076787711,0.932330503992724,-1.93060299011155,0,0.420022155266969,-0.939145567196883,1.93112495099927,-0.991979383802387,0,0.424305076787711,-0.932330503992724,1.93060299011155,-0.998272486118825,0
83,1.64,0.423039222051965,0.934344755243795,-1.93075726019527,0,0.427420022823243,0.927373944782639,-1.93022337073491,0,0.423039222051965,-0.934344755243795,1.93075726019527,-0.996412504951479,0,0.427420022823243,-0.927373944782639,1.93022337073491,-1.00284942595227,0
84,1.66,0.425805643141215,0.929942775314614,-1.9304201156549,0,0.430270253451947,0.922838605578553,-1.92987601230166,0,0.425805643141215,-0.929942775314614,1.9304201156549,-1.00047734034029,0,0.430270253451947,-0.922838605578553,1.92987601230166,-1.0070374067231,0
85,1.68,0.428324972569228,0.925933972164507,-1.93011308424694,0,0.432858685973199,0.918719844320237,-1.92956055927968,0,0.428324972569228,-0.925933972164507,1.93011308424694,-1.00417911208243,0,0.432858685973199,-0.918719844320237,1.92956055927968,-1.01084071495945,0
86,1.7,0.430601815451666,0.92231101804905,-1.9298356047446,0,0.435189288731114,0.915011346505823,-1.92927652804573,0,0.430601815451666,-0.92231101804905,1.9298356047446,-1.00752458669555,0,0.435189288731114,-0.915011346505823,1.92927652804573,-1.01426518153991,0
87,1.72,0.432641859836285,0.919064862042422,-1.92958698394386,0,0.437267112970156,0.911705074502558,-1.92902330300318,0,0.432641859836285,-0.919064862042422,1.92958698394386,-1.01052212190144,0,0.437267112970156,-0.911705074502558,1.92902330300318,-1.01731822850062,0
88,1.74,0.434451908553889,0.916184679355595,-1.92936639278176,0,0.439098324690165,0.908791216858513,-1.92880013269984,0,0.434451908553889,-0.916184679355595,1.92936639278176,-1.01318171342617,0,0.439098324690165,-0.908791216858513,1.92880013269984,-1.02000891584132,0
89,1.76,0.436039911069263,0.913657820654536,-1.92917286245471,0,0.440690236500843,0.906258137615132,-1.92860612594583,0,0.436039911069263,-0.913657820654536,1.92917286245471,-1.01551504180018,0,0.440690236500843,-0.906258137615132,1.92860612594583,-1.0223479883307,0
