sample,time_s,segment_index,q1_ref_rad,q2_ref_rad,q3_ref_rad,q4_ref_m,q1_actual_rad,q2_actual_rad,q3_actual_rad,q4_actual_m,q1_error_rad,q2_error_rad,q3_error_rad,q4_error_m,q1dot_ref,q2dot_ref,q3dot_ref,q4dot_ref,q1dot_actual,q2dot_actual,q3dot_actual,q4dot_actual,q1dot_error,q2dot_error,q3dot_error,q4dot_error,q1ddot_cmd,q2ddot_cmd,q3ddot_cmd,q4ddot_cmd,stamp_ref_x_m,stamp_ref_y_m,stamp_ref_z_m,stamp_actual_x_m,stamp_actual_y_m,stamp_actual_z_m,stamp_error_x_m,stamp_error_y_m,stamp_error_z_m,stamp_error_norm_m
663,13.24,7,-0.310323733207215,0.836133222585555,-1.94780313438458,0,-0.310773361052484,0.835736291558622,-1.94683019760599,0,0.000449627845269751,0.000396931026933167,-0.000972936778585565,0,-0.277745775357672,-0.245193701855634,0.601006104904611,0,-0.289769622892872,-0.255808342830487,0.627024163194758,0,0.0120238475352008,0.0106146409748526,-0.0260180582901463,0,0.285439735230991,0.251985922190369,-0.617654843661481,0,0.39092460060064,-0.125363457535699,0.0565821627303542,0.391085755510515,-0.125609091883862,0.0565922530232501,-0.000161154909874284,0.000245634348163076,-1.00902928958785e-05,0.000293953996374964
664,13.26,7,-0.315820694643176,0.831280510346439,-1.93590841743638,0,-0.316454577616249,0.830720919070889,-1.93453677627956,0,0.000633882973073485,0.000559591275550497,-0.00137164115681565,0,-0.27188261392691,-0.24001770861529,0.588318978306948,0,-0.284060828188253,-0.25076862438668,0.614671066321528,0,0.0121782142613424,0.0107509157713898,-0.0263520880145797,0,0.306952582534197,0.270977442982845,-0.664205875973158,0,0.392880430164583,-0.128376635441269,0.056709634948726,0.393103946279867,-0.128725515352979,0.05672490985804,-0.000223516115283984,0.000348879911709649,-1.5274909313967e-05,0.000414620271381809
665,13.28,7,-0.321196378830381,0.826534861545227,-1.92427612884301,0,-0.322013013147,0.825813937560348,-1.92250903730352,0,0.000816634316618992,0.000720923984878996,-0.00176709153948651,0,-0.265620652439796,-0.234489655070909,0.574768899723083,0,-0.277921776537569,-0.245349075527023,0.601386948802065,0,0.0123011240977725,0.0108594204561141,-0.0266180490789819,0,0.327685913617349,0.289280807610182,-0.709070135528289,0,0.394762642732458,-0.131344517100819,0.0568429413636101,0.395045922548489,-0.131797187886386,0.0568639387243972,-0.000283279816031101,0.000452670785566961,-2.0997360787027e-05,0.000534414804656874
666,13.3,7,-0.326442969888178,0.821903176033802,-1.9129231811641,0,-0.327440374312305,0.821022668372852,-1.91076492638169,0,0.000997404424127324,0.000880507660950269,-0.00215825478240839,0,-0.258976103094355,-0.228623853335228,0.560390950262619,0,-0.271368058265222,-0.239563459374819,0.587205546091498,0,0.0123919551708661,0.0109396060395912,-0.0268145958288791,0,0.347579545830055,0.30684288688685,-0.752117394818421,0,0.396570361027015,-0.134261011263801,0.056981265789241,0.396910724704292,-0.134817648625279,0.0570084784001399,-0.000340363677277189,0.000556637361477957,-2.72126108989412e-05,0.000653018461603292
667,13.32,7,-0.33155298818891,0.817392056820222,-1.90186575935108,0,-0.332728703659278,0.81635413634011,-1.89932166241779,0,0.00117571547036788,0.00103792048011242,-0.00254409693329083,0,-0.251966378992167,-0.22243567567748,0.545222809635864,0,-0.264416467348621,-0.233426601637082,0.57216319819513,0,0.0124500883564536,0.0109909259596023,-0.0269403885592658,0,0.366573314165859,0.323610567203289,-0.7932174645144,0,0.398302981628628,-0.137120175706163,0.0571237707000599,0.398697685446621,-0.137780579206364,0.0571576423974681,-0.000394703817992892,0.000660403500200635,-3.38716974081638e-05,0.000770111147108472
668,13.34,7,-0.336519314375986,0.813007788865602,-1.89111926877517,0,-0.337870403680584,0.81181504853425,-1.88819568543969,0,0.00135108930459704,0.00119274033135197,-0.0029235833354746,0,-0.244610094138374,-0.215941554523401,0.529304756153849,0,-0.257085001065304,-0.226954390293016,0.556298848904843,0,0.0124749069269299,0.011012835769615,-0.0269940927509933,0,0.384607068998303,0.339530748527497,-0.832240188567326,0,0.3999601634143,-0.139916246197856,0.0572696037067653,0.400406417210395,-0.140679834013364,0.0573105258197805,-0.000446253796094975,0.000763587815508032,-4.0922113015221e-05,0.000885371911602765
669,13.36,7,-0.341335213381958,0.808756317880971,-1.88069828325535,0,-0.34285826087429,0.807411773027801,-1.87740260453702,0,0.00152304749233234,0.00134454485317015,-0.0032956787183267,0,-0.236927063441671,-0.209158982455224,0.512679666728306,0,-0.249392859685338,-0.220163775322466,0.539654045133496,0,0.012465796243667,0.0110047928672421,-0.02697437840519,0,0.401620674106575,0.354550342661857,-0.86905543993647,0,0.40154181475847,-0.14264366494834,0.0574179041172779,0.40203679817894,-0.143509469866044,0.0574662123210246,-0.000494983420470496,0.000865804917704383,-4.83082037467386e-05,0.000998479055669672
670,13.38,7,-0.345994358446582,0.804643229124152,-1.87061649308637,0,-0.347685469798354,0.803150317658416,-1.86695714581033,0,0.00169111135177258,0.00149291146573605,-0.00365934727604755,0,-0.228938302714313,-0.202106512211682,0.495393016871685,0,-0.241360446203206,-0.213072768469229,0.522272936334767,0,0.012422143488893,0.0109662562575477,-0.0268799194630825,0,0.417554004955119,0.368616271724559,-0.903533116866406,0,0.403048079713375,-0.145297108421295,0.0575678095332832,0.403588957114691,-0.146263775027827,0.0576237811152388,-0.000540877401315587,0.000966666606531663,-5.59715819555898e-05,0.00110911023321578
671,13.4,7,-0.350490855134897,0.800673726196628,-1.86088665306673,0,-0.352345657120437,0.799036308797721,-1.85687310033038,0,0.00185480198553944,0.0016374173989071,-0.00401355273635695,0,-0.220666028672113,-0.194803756688004,0.477492880697142,0,-0.233009366104103,-0.205700443034738,0.504202273997438,0,0.0123433374319902,0.0108966863467335,-0.0267093933002958,0,0.432346947193749,0.38167546682538,-0.93554313964161,0,0.404479323399664,-0.147871514424424,0.0577184624334173,0.405063257251645,-0.148937297429349,0.0577823139843555,-0.000583933851980745,0.00106578300492463,-6.38515509382431e-05,0.00121694255313571
672,13.42,7,-0.354819265355296,0.796852609840412,-1.85152053052665,0,-0.356832905663641,0.795074970123756,-1.84716327210628,0,0.0020136403083455,0.00177763971665512,-0.0043572584203635,0,-0.212133658934439,-0.187271388935922,0.459029930918548,0,-0.224362427160229,-0.19806693369823,0.485491411204606,0,0.0122287682257893,0.0107955447623085,-0.026461480286058,0,0.445939395350337,0.393674866911681,-0.964955447757511,0,0.405836116848174,-0.150362108395081,0.0578690166949265,0.406460279505322,-0.151524872021827,0.0579409022331127,-0.00062416265714782,0.001162763626746,-7.18855381861699e-05,0.00132165267936083
