sample,time_s,segment_index,q1_rad,q2_rad,q3_rad,q4_m,q1dot,q2dot,q3dot,q4dot,q1ddot,q2ddot,q3ddot,q4ddot,stamp_x_m,stamp_y_m,stamp_z_m
298,5.94,3,0.442374222976745,0.903578547477269,-1.92840089802568,1.5479748000008e-05,0,0,0,-0.000762129000000051,-0,-0,-0,0.0246186000000002,0.38,0.18,0.079984520252
299,5.96,3,0.442374222976745,0.903578547477269,-1.92840089802568,4.65715200014677e-06,0,0,0,-0.000345744000000003,-0,-0,-0,0.0169343999999999,0.38,0.18,0.0799953428479998
300,5.98,3,0.442374222976745,0.903578547477269,-1.92840089802568,5.91035999981948e-07,0,0,0,-8.82089999999636e-05,-0,-0,-0,0.00873180000000005,0.38,0.18,0.079999408964
301,6,3,0.442374222976745,0.903578547477269,-1.92840089802568,0,0,0,0,-0,0,0,0,-0,0.38,0.18,0.08
302,6.02,4,0.442369162903911,0.90357996160976,-1.92840618388398,0,-0.000755189133263356,0.000211051802079034,-0.000788886420784852,0,-0.074756096020009,0.0208919965694397,-0.0780917871079954,0,0.379999762718141,0.179997533344977,0.0799996156500974
303,6.04,4,0.442334351415086,0.903589690334825,-1.92844254869594,0,-0.00296003935755995,0.000827238652042461,-0.00309211924710447,0,-0.144981519553957,0.0405178115286104,-0.151450738633688,0,0.37999812982627,0.179980563801185,0.0799969715539499
304,6.06,4,0.442241695258765,0.903615584839796,-1.92853933926177,0,-0.00652486185020654,0.00182349532209516,-0.0068160076521255,0,-0.210768733305641,0.0589032853185378,-0.22017344305835,0,0.379993779567841,0.179935398094415,0.0799899346793637
305,6.08,4,0.442064876467358,0.903665000175537,-1.92872404788288,0,-0.0113618170425958,0.00317527339326253,-0.0118687925786401,0,-0.272210199978858,0.076074258380248,-0.284356488863251,0,0.379985461430486,0.1798492123635,0.0799765091910003
306,6.1,4,0.441779315372105,0.90374480559262,-1.9290223509972,0,-0.0173849146201964,0.00485854125539047,-0.0181606467390656,0,-0.329398382277405,0.0920565711547668,-0.344096464529665,0,0.379971982268353,0.179710038198188,0.0799548360209799
307,6.12,4,0.441362133617997,0.903861394877503,-1.9294581478146,0,-0.0245100135225528,0.00684978410714543,-0.0256036746154452,0,-0.38242574290508,0.10687606408312,-0.399489958538861,0,0.379952189449539,0.179506749703387,0.079923193026539
308,6.14,4,0.440792117178693,0.904020696688707,-1.93005359895232,0,-0.0326548219432857,0.00912600395601435,-0.0341119124594471,0,-0.43138474456568,0.120558577606334,-0.450633559372112,0,0.379924952010064,0.179229051295936,0.0798799955470695
